train_sigma,seed,method,epoch,train_loss,val_loss
train_sigma_0.01,seed123,pinn_log_predict_s0,11,0.11929008993457,0.22266924381256104
train_sigma_0.01,seed123,pinn_log_predict_s0,12,0.11647542670965731,0.21736830472946167
train_sigma_0.01,seed123,pinn_log_predict_s0,13,0.11400206694879426,0.21423402428627014
train_sigma_0.01,seed123,pinn_log_predict_s0,14,0.11155810684300471,0.20825454592704773
train_sigma_0.01,seed123,pinn_log_predict_s0,15,0.1092291624006205,0.2031538039445877
train_sigma_0.01,seed123,pinn_log_predict_s0,16,0.10696443380456737,0.1984197497367859
train_sigma_0.01,seed123,pinn_log_predict_s0,17,0.10488940944876687,0.19239942729473114
train_sigma_0.01,seed123,pinn_log_predict_s0,18,0.10292896696194653,0.18773400783538818
train_sigma_0.01,seed123,pinn_log_predict_s0,19,0.10100214874790986,0.1821984201669693
train_sigma_0.01,seed123,pinn_log_predict_s0,20,0.09940187938915554,0.18009290099143982
train_sigma_0.01,seed123,pinn_log_predict_s0,21,0.09876209898622991,0.17512531578540802
train_sigma_0.01,seed123,pinn_log_predict_s0,22,0.09749193793457192,0.17180854082107544
train_sigma_0.01,seed123,pinn_log_predict_s0,23,0.09675107423034292,0.17100673913955688
train_sigma_0.01,seed123,pinn_log_predict_s0,24,0.0962283585773178,0.1700940728187561
train_sigma_0.01,seed123,pinn_log_predict_s0,25,0.09570034112250275,0.16914306581020355
train_sigma_0.01,seed123,pinn_log_predict_s0,26,0.09526477983622625,0.16861020028591156
train_sigma_0.01,seed123,pinn_log_predict_s0,27,0.09490442307958448,0.1681511551141739
train_sigma_0.01,seed123,pinn_log_predict_s0,28,0.09455536137629948,0.16769827902317047
train_sigma_0.01,seed123,pinn_log_predict_s0,29,0.09424528190182686,0.16767475008964539
train_sigma_0.01,seed123,pinn_log_predict_s0,30,0.09390905879018728,0.1680840402841568
train_sigma_0.01,seed123,pinn_log_predict_s0,31,0.09362959109121487,0.16709116101264954
train_sigma_0.01,seed123,pinn_log_predict_s0,32,0.09332478161617656,0.16716249287128448
train_sigma_0.01,seed123,pinn_log_predict_s0,33,0.09300816342832986,0.16722838580608368
train_sigma_0.01,seed123,pinn_log_predict_s0,34,0.0926777384365364,0.16677549481391907
train_sigma_0.01,seed123,pinn_log_predict_s0,35,0.09237426842023672,0.16660146415233612
train_sigma_0.01,seed123,pinn_log_predict_s0,36,0.09207980498208147,0.16642822325229645
train_sigma_0.01,seed123,pinn_log_predict_s0,37,0.09177708831344664,0.16629214584827423
train_sigma_0.01,seed123,pinn_log_predict_s0,38,0.09154793097065644,0.1659603714942932
train_sigma_0.01,seed123,pinn_log_predict_s0,39,0.0913482683395417,0.1659020632505417
train_sigma_0.01,seed123,pinn_log_predict_s0,40,0.09093490151919975,0.16608412563800812
train_sigma_0.01,seed123,pinn_log_predict_s0,41,0.09061805979640494,0.16598765552043915
train_sigma_0.01,seed123,pinn_log_predict_s0,42,0.09035550835291234,0.16543394327163696
train_sigma_0.01,seed123,pinn_log_predict_s0,43,0.09008769678319282,0.1654675453901291
train_sigma_0.01,seed123,pinn_log_predict_s0,44,0.08982126116010333,0.1652287393808365
train_sigma_0.01,seed123,pinn_log_predict_s0,45,0.08958367719408541,0.16523610055446625
train_sigma_0.01,seed123,pinn_log_predict_s0,46,0.08919991014385512,0.16513200104236603
train_sigma_0.01,seed123,pinn_log_predict_s0,47,0.08890358008836259,0.16505667567253113
train_sigma_0.01,seed123,pinn_log_predict_s0,48,0.08857222681356068,0.16538451611995697
train_sigma_0.01,seed123,pinn_log_predict_s0,49,0.08833801131960509,0.16495409607887268
train_sigma_0.01,seed123,pinn_log_predict_s0,50,0.08800788047607438,0.16461828351020813
train_sigma_0.01,seed123,pinn_log_rician,1,0.7131831146054417,0.503294050693512
train_sigma_0.01,seed123,pinn_log_rician,2,0.5844701091708439,0.5778433680534363
train_sigma_0.01,seed123,pinn_log_rician,3,0.5170786547791827,0.46789833903312683
train_sigma_0.01,seed123,pinn_log_rician,4,0.4716126157288406,0.4211826026439667
train_sigma_0.01,seed123,pinn_log_rician,5,0.40637745854404284,0.34017083048820496
train_sigma_0.01,seed123,pinn_log_rician,6,0.2795047327025961,0.20999860763549805
train_sigma_0.01,seed123,pinn_log_rician,7,0.15756581990596927,0.197039395570755
train_sigma_0.01,seed123,pinn_log_rician,8,0.15277619566633843,0.18976296484470367
train_sigma_0.01,seed123,pinn_log_rician,9,0.14574944979868104,0.1882980465888977
train_sigma_0.01,seed123,pinn_log_rician,10,0.14304990769693557,0.18417945504188538
train_sigma_0.01,seed123,pinn_log_rician,11,0.1408158690952541,0.1827988624572754
train_sigma_0.01,seed123,pinn_log_rician,12,0.13872019764103583,0.18152931332588196
train_sigma_0.01,seed123,pinn_log_rician,13,0.13676139750785818,0.17696663737297058
train_sigma_0.01,seed123,pinn_log_rician,14,0.1348994089303408,0.17641901969909668
train_sigma_0.01,seed123,pinn_log_rician,15,0.13314081711604703,0.17343363165855408
train_sigma_0.01,seed123,pinn_log_rician,16,0.13147316844070756,0.17103144526481628
train_sigma_0.01,seed123,pinn_log_rician,17,0.12997917518715046,0.16998866200447083
train_sigma_0.01,seed123,pinn_log_rician,18,0.1286266148885168,0.16746100783348083
train_sigma_0.01,seed123,pinn_log_rician,19,0.12744755825700252,0.16525888442993164
train_sigma_0.01,seed123,pinn_log_rician,20,0.12651367708643238,0.16279146075248718
train_sigma_0.01,seed123,pinn_log_rician,21,0.12568066586987184,0.16230139136314392
train_sigma_0.01,seed123,pinn_log_rician,22,0.12499193147753922,0.16233715415000916
train_sigma_0.01,seed123,pinn_log_rician,23,0.12443501398862754,0.1591140776872635
train_sigma_0.01,seed123,pinn_log_rician,24,0.1239383907765953,0.1584855318069458
train_sigma_0.01,seed123,pinn_log_rician,25,0.12351855344209282,0.1590282917022705
train_sigma_0.01,seed123,pinn_log_rician,26,0.1231564793194492,0.15744337439537048
train_sigma_0.01,seed123,pinn_log_rician,27,0.12279815757374415,0.1569094955921173
train_sigma_0.01,seed123,pinn_log_rician,28,0.1224948343561896,0.15622717142105103
train_sigma_0.01,seed123,pinn_log_rician,29,0.12216804391614298,0.15609341859817505
train_sigma_0.01,seed123,pinn_log_rician,30,0.12189378958534398,0.1555967479944229
train_sigma_0.01,seed123,pinn_log_rician,31,0.12162388138867301,0.1557072252035141
train_sigma_0.01,seed123,pinn_log_rician,32,0.12137059172156082,0.154924213886261
train_sigma_0.01,seed123,pinn_log_rician,33,0.12115710994184312,0.1547209769487381
train_sigma_0.01,seed123,pinn_log_rician,34,0.12090147750505605,0.15479007363319397
train_sigma_0.01,seed123,pinn_log_rician,35,0.12068029714775566,0.15508168935775757
train_sigma_0.01,seed123,pinn_log_rician,36,0.1204716362835341,0.15540575981140137
train_sigma_0.01,seed123,pinn_log_rician,37,0.120269044279188,0.15454301238059998
train_sigma_0.01,seed123,pinn_log_rician,38,0.12003393568333573,0.15526224672794342
train_sigma_0.01,seed123,pinn_log_rician,39,0.11983061609448914,0.15659739077091217
train_sigma_0.01,seed123,pinn_log_rician,40,0.11969438336492615,0.15614333748817444
train_sigma_0.01,seed123,pinn_log_rician,41,0.1194914294709739,0.15555834770202637
train_sigma_0.01,seed123,pinn_log_rician,42,0.11925512438764528,0.15480531752109528
train_sigma_0.01,seed123,pinn_log_rician,43,0.11905367428389077,0.15495535731315613
train_sigma_0.01,seed123,pinn_log_rician,44,0.11886255998928492,0.153915673494339
train_sigma_0.01,seed123,pinn_log_rician,45,0.11868628300161509,0.15365442633628845
train_sigma_0.01,seed123,pinn_log_rician,46,0.11850180899298246,0.153850719332695
train_sigma_0.01,seed123,pinn_log_rician,47,0.11830225819272076,0.15425339341163635
train_sigma_0.01,seed123,pinn_log_rician,48,0.11811825287072437,0.15457676351070404
