train_sigma,seed,method,best_val_loss,final_train_loss,best_epoch
train_sigma_0.05,seed123,pinn_log_rician_predict_s0,0.22724449634552002,0.1988816951009106,7
train_sigma_0.05,seed123,semi_supervised,0.16901996731758118,0.2127707377757749,25
train_sigma_0.05,seed123,supervised,0.13880914449691772,0.14296215881430124,50
train_sigma_0.05,seed42,cnn_pinn_log,0.021163377910852432,0.06110645482937495,9
train_sigma_0.05,seed42,cnn_supervised,0.011402836069464684,0.011228253195683161,49
train_sigma_0.05,seed42,pinn_log,0.2248377799987793,0.20858930188409383,7
train_sigma_0.05,seed42,pinn_log_predict_s0,0.24801629781723022,0.19061738597062663,7
train_sigma_0.05,seed42,pinn_log_rician,0.2334255576133728,0.20858571123704342,7
train_sigma_0.05,seed42,pinn_log_rician_predict_s0,0.2307804822921753,0.19001380245958172,6
train_sigma_0.05,seed42,semi_supervised,0.1685764342546463,0.20665669581824833,27
train_sigma_0.05,seed42,supervised,0.13436704874038696,0.1371679429887432,50
train_sigma_0.05,seed514,cnn_pinn_log,0.020850203931331635,0.06784209658702214,7
train_sigma_0.05,seed514,cnn_supervised,0.011082850396633148,0.011146311399837334,49
train_sigma_0.05,seed514,pinn_log,0.21891693770885468,0.20842352307486314,7
train_sigma_0.05,seed514,pinn_log_predict_s0,0.23116359114646912,0.1934753903006246,6
train_sigma_0.05,seed514,pinn_log_rician,0.2201479971408844,0.21180875052877057,7
train_sigma_0.05,seed514,pinn_log_rician_predict_s0,0.23737314343452454,0.19287054736116432,6
train_sigma_0.05,seed514,semi_supervised,0.16643667221069336,0.20770595056687574,24
train_sigma_0.05,seed514,supervised,0.1359206736087799,0.13795970655524006,50
train_sigma_0.08,seed123,cnn_pinn_log,0.015861382707953453,0.0764599526921908,6
train_sigma_0.08,seed123,cnn_supervised,0.011747066862881184,0.011718349593381087,49
train_sigma_0.08,seed123,pinn_log,0.2679125666618347,0.2485435335224538,7
train_sigma_0.08,seed123,pinn_log_predict_s0,0.2526276111602783,0.2304996423042604,6
train_sigma_0.08,seed123,pinn_log_rician,0.24704866111278534,0.24268569682942737,7
train_sigma_0.08,seed123,pinn_log_rician_predict_s0,0.25279662013053894,0.231298734702285,6
train_sigma_0.08,seed123,semi_supervised,0.21458235383033752,0.2539996483199162,25
train_sigma_0.08,seed123,supervised,0.200367271900177,0.20372388385026613,50
train_sigma_0.08,seed42,cnn_pinn_log,0.015380396507680416,0.07381206899881362,8
train_sigma_0.08,seed42,cnn_supervised,0.011543279513716698,0.011763853579759597,48
train_sigma_0.08,seed42,pinn_log,0.24430128931999207,0.24774834818577887,6
train_sigma_0.08,seed42,pinn_log_predict_s0,0.26386886835098267,0.23118973402628834,6
train_sigma_0.08,seed42,pinn_log_rician,0.24989007413387299,0.24592115167130946,5
train_sigma_0.08,seed42,pinn_log_rician_predict_s0,0.2527194619178772,0.23086320183197423,6
train_sigma_0.08,seed42,semi_supervised,0.22177855670452118,0.2543776005199223,24
train_sigma_0.08,seed42,supervised,0.20696184039115906,0.20509936293193784,49
train_sigma_0.08,seed514,cnn_pinn_log,0.015390446409583092,0.08379715830087661,7
train_sigma_0.08,seed514,cnn_supervised,0.011804628185927868,0.011574719039102396,41
train_sigma_0.08,seed514,pinn_log,0.24501805007457733,0.235350735263691,6
train_sigma_0.08,seed514,pinn_log_predict_s0,0.2426210641860962,0.23091190903697756,6
train_sigma_0.08,seed514,pinn_log_rician,0.24037382006645203,0.2362944575445315,6
train_sigma_0.08,seed514,pinn_log_rician_predict_s0,0.25389325618743896,0.23102378470642002,5
train_sigma_0.08,seed514,semi_supervised,0.21195825934410095,0.2535369877380593,23
train_sigma_0.08,seed514,supervised,0.19618746638298035,0.20302186479503953,50
